기준일,예금            ,예금미수이자    ,콜론            ,콜미수이자      ,정기예금        ,정기예금미수이자,REPO            ,REPO미수이자    ,채권            ,채권미수이자    ,외화예금        ,외화정기예금    ,외화예금미수이자,외화채권        ,외화채권미수이자
20251001,2503495548,141979,0,0,0,0,0,0,0,0,0,0,0,0,0
20251002,3448147384,337531,0,0,0,0,0,0,0,0,0,0,0,0,0
20251003,3448147384,533083,0,0,0,0,0,0,0,0,0,0,0,0,0
20251004,3448147384,728636,0,0,0,0,0,0,0,0,0,0,0,0,0
20251005,3448147384,924188,0,0,0,0,0,0,0,0,0,0,0,0,0
20251006,3448147384,1119741,0,0,0,0,0,0,0,0,0,0,0,0,0
20251007,3448147384,1315293,0,0,0,0,0,0,0,0,0,0,0,0,0
20251008,3448147384,1510846,0,0,0,0,0,0,0,0,0,0,0,0,0
20251009,3448147384,1706398,0,0,0,0,0,0,0,0,0,0,0,0,0
20251010,4271038979,1948619,0,0,0,0,0,0,0,0,0,0,0,0,0
20251011,4271038979,2190839,0,0,0,0,0,0,0,0,0,0,0,0,0
20251012,4271038979,2433060,0,0,0,0,0,0,0,0,0,0,0,0,0
20251013,4448085349,2685321,0,0,0,0,0,0,0,0,0,0,0,0,0
20251014,1998468524,2798659,0,0,0,0,0,0,0,0,0,0,0,0,0
20251015,1246600110,2869357,0,0,0,0,0,0,0,0,0,0,0,0,0
20251016,8544189587,3353918,0,0,0,0,0,0,0,0,0,0,0,0,0
20251017,6410619972,3717479,0,0,0,0,0,0,0,0,0,0,0,0,0
20251018,6410619972,4081040,0,0,0,0,0,0,0,0,0,0,0,0,0
20251019,6410619972,4444601,0,0,0,0,0,0,0,0,0,0,0,0,0
20251020,5283730058,4744254,0,0,0,0,0,0,0,0,0,0,0,0,0
20251021,6900917558,5135621,0,0,0,0,0,0,0,0,0,0,0,0,0
20251022,4430470690,5386883,0,0,0,0,0,0,0,0,0,0,0,0,0
20251023,4396447575,5636216,0,0,0,0,0,0,0,0,0,0,0,0,0
20251024,10888429221,6253724,0,0,0,0,0,0,0,0,0,0,0,0,0
20251025,10888429221,6871232,0,0,0,0,0,0,0,0,0,0,0,0,0
20251026,10888429221,7488741,0,0,0,0,0,0,0,0,0,0,0,0,0
20251027,9208135763,8010955,0,0,0,0,0,0,0,0,0,0,0,0,0
20251028,6864404863,8400252,0,0,0,0,0,0,0,0,0,0,0,0,0
20251029,6729541863,8781900,0,0,0,0,0,0,0,0,0,0,0,0,0
20251030,16258669267,9703967,0,0,0,0,0,0,0,0,0,0,0,0,0
20251031,9801531970,10259834,0,0,0,0,0,0,0,0,0,0,0,0,0
20251101,9801531970,10815701,0,0,0,0,0,0,0,0,0,0,0,0,0
20251102,9801531970,11371569,0,0,0,0,0,0,0,0,0,0,0,0,0
20251103,9314785259,1639998,0,0,0,0,0,0,0,0,0,0,0,0,0
20251104,13615537462,2412167,0,0,0,0,0,0,0,0,0,0,0,0,0
20251105,9377770744,2944002,0,0,0,0,0,0,0,0,0,0,0,0,0
20251106,9547183859,3485445,0,0,0,0,0,0,0,0,0,0,0,0,0
20251107,13740195350,4264684,0,0,0,0,0,0,0,0,0,0,0,0,0
20251108,13740195350,5043922,0,0,0,0,0,0,0,0,0,0,0,0,0
20251109,13740195350,5823161,0,0,0,0,0,0,0,0,0,0,0,0,0
20251110,15234963103,6687171,0,0,0,0,0,0,0,0,0,0,0,0,0
20251111,18886703511,7758280,0,0,0,0,0,0,0,0,0,0,0,0,0
20251112,12406185630,8461863,0,0,0,0,0,0,0,0,0,0,0,0,0
20251113,13906550599,9250536,0,0,0,0,0,0,0,0,0,0,0,0,0
20251114,6315303639,9608692,0,0,0,0,0,0,0,0,0,0,0,0,0
20251115,6315303639,9966847,0,0,0,0,0,0,0,0,0,0,0,0,0
20251116,6315303639,10325003,0,0,0,0,0,0,0,0,0,0,0,0,0
20251117,4143989294,10560018,0,0,0,0,0,0,0,0,0,0,0,0,0
20251118,10772450023,11170949,0,0,0,0,0,0,0,0,0,0,0,0,0
20251119,6215005973,11523417,0,0,0,0,0,0,0,0,0,0,0,0,0
20251120,11183707786,12157671,0,0,0,0,0,0,0,0,0,0,0,0,0
20251121,9298079211,12684986,0,0,0,0,0,0,0,0,0,0,0,0,0
20251122,9298079211,13212302,0,0,0,0,0,0,0,0,0,0,0,0,0
20251123,9298079211,13739618,0,0,0,0,0,0,0,0,0,0,0,0,0
20251124,105763970,13745616,0,0,0,0,0,0,0,0,0,0,0,0,0
20251125,7693703008,14181944,0,0,0,0,0,0,0,0,0,0,0,0,0
20251126,11125486842,14812896,0,0,0,0,0,0,0,0,0,0,0,0,0
20251127,8416980445,15290243,0,0,0,0,0,0,0,0,0,0,0,0,0
20251128,4217665285,15529436,0,0,0,0,0,0,0,0,0,0,0,0,0
20251129,4217665285,15768630,0,0,0,0,0,0,0,0,0,0,0,0,0
20251130,4217665285,16007823,0,0,0,0,0,0,0,0,0,0,0,0,0
20251201,114871164,6514,0,0,0,0,0,0,0,0,0,0,0,0,0
20251202,5184317938,300529,0,0,0,0,0,0,0,0,0,0,0,0,0
20251203,8558387501,785895,0,0,0,0,0,0,0,0,0,0,0,0,0
20251204,6008476114,1126650,0,0,0,0,0,0,0,0,0,0,0,0,0
20251205,416831038,1150289,0,0,0,0,0,0,0,0,0,0,0,0,0
20251206,416831038,1173929,0,0,0,0,0,0,0,0,0,0,0,0,0
20251207,416831038,1197568,0,0,0,0,0,0,0,0,0,0,0,0,0
20251208,4639628333,1460692,0,0,0,0,0,0,0,0,0,0,0,0,0
20251209,2381559726,1595756,0,0,0,0,0,0,0,0,0,0,0,0,0
20251210,444558196,1620968,0,0,0,0,0,0,0,0,0,0,0,0,0
20251211,60932456,1624423,0,0,0,0,0,0,0,0,0,0,0,0,0
