	매매처        ,매매처명      ,종목          ,표준코드      ,종목명        ,포지션        ,계약수        ,정산가        ,평가금액      ,취득가액      ,정산손익      ,미수입금      ,미지급금      ,결산손익      ,선물수수료   
KRX000000001,증권사001,KR4A01630008,KR4A01630008,선물2026년03월물,증권사002,182,608,27664000000,26650965056,1013034944,120575000,0,0,0
KRX000000002,증권사003,KR4A01630008,KR4A01630008,선물2026년03월물,증권사002,179,608,27208000000,26296087500,911912500,118587500,0,0,0
KRX000000003,증권사004,KR4A01630008,KR4A01630008,선물2026년03월물,증권사002,179,608,27208000000,26071238500,1136761500,118587500,0,0,0
KRX000000004,증권사005,KR4A01630008,KR4A01630008,선물2026년03월물,증권사002,165,608,25080000000,24050546159,1029453841,109312500,0,0,0
KRX000000005,증권사006,KR4A01630008,KR4A01630008,선물2026년03월물,증권사002,178,608,27056000000,26053215256,1002784744,117925000,0,0,0
