종목코드      ,표준코드      ,종목명        ,유동종류      ,발행률        ,시장률        ,매입율        ,선후급        ,이자          ,과세          ,수량          ,대용/대차수량 ,만기금액      ,발행일        ,만기일        ,매입일        ,취득원가      ,장부가평가액  ,시가평가금액  ,상환손익      ,총경과/총일수 ,기경과이자    ,선수이자      ,이자계산      ,미수이자      ,선납원천세    ,미지급원천세  ,예수원천세    ,대조원천세    ,평가손익      ,단가          ,미지급비용    ,중개기관      ,거래상대방    ,repo담보채권  ,repo담보수량  ,원화미수입금  ,원화미지급금  
KRX000000001,KRX000000001,유동항목001,예금,2.07,0,0,후급,14,비과세,7196301321,0,0,19000101,20991231,,7196301321,7202532493,7202532493,0,46021/73048,0,0,d/365,6231172,0,0,0,0,0,0,0,,,,0,,
KRX000000002,KRX000000003,유동항목002,REPO발행(차입),2.63,0,0,,,,5000000000,0,5003602739,20251230,20260109,20251230,5000000000,5000720547,5000720547,0,2/10,0,0, ,720547,0,0,0,0,0,0,30000,유동항목003,유동항목004,KR103502G990,0,,
